Latitude,Longitude,MAT,MAP,Vegetation,Fertilization,Soil.type.raw,Soil.type,Soil.classification.system,Degree.Weathering,Resin.Pi,Bic.Pi,Bic.Po,OH.Pi,OH.Po,acid.Pi,Resi.P,TPo,TP,pH,TC,TN,Sand,Silt,Clay,Texture,PME,Top.depth,Bottom.depth,Mean.depth
42.586455,-8.130569,11.9,1345,Perennial.woody,none,Inceptisol ,Inceptisols,USDA system,Low,3,7,32,91,127,6,,,704,4.85,11,0.8,56,,25,sandy clay loam,4.88,0,20,10
39.41666667,-4.066666667,14.9,622,Perennial.mixed,none,Dystric Cambisol,Cambisols,WRB system,Low,5.3,5.8,19.6,16.9,116.6,1.9,,,333.6,5.57,5.66,0.21,,,,,2.820968298,0,5,2.5
39.41666667,-4.066666667,14.9,622,Perennial.mixed,none,Dystric Cambisol,Cambisols,WRB system,Low,10.1,11.2,13.4,21.8,95.6,6.6,,,326,6.66,4.06,0.2,,,,,2.416389907,0,5,2.5
39.41666667,-4.066666667,14.9,622,Perennial.mixed,none,Dystric Cambisol,Cambisols,WRB system,Low,10.1,19.4,17.5,34.2,107.9,10.2,,,346.4,6.58,5.19,0.23,,,,,2.580981957,0,5,2.5
39.41666667,-4.066666667,14.9,622,Perennial.mixed,none,Dystric Cambisol,Cambisols,WRB system,Low,15.3,14.2,15.7,35.9,99.2,8.7,,,339.9,6.61,4.29,0.19,,,,,1.962040112,0,5,2.5
39.41666667,-4.066666667,14.9,622,Perennial.mixed,none,Dystric Cambisol,Cambisols,WRB system,Low,11.1,9,15.8,25,86.9,5,,,335.3,6.63,4.12,0.19,,,,,1.993579901,0,5,2.5
-62.18055556,-58.90972222,-2,800,Perennial.herbaceous,none,"Histosols, Regosols, Cambisols, Andisols",,,,27.48,0.96,7.95,2.96,1.98,385.89,,,,,1.13,,86,8,6,loamy sand,0.020990583,0,10,5
-62.18555556,-58.90916667,-2,800,Perennial.herbaceous,none,"Histosols, Regosols, Cambisols, Andisols",,,,47.88,3,8.46,24.3,9.47,281.75,,,,,0.09,,95,3,2,sand,0.098267558,0,10,5
50.84888889,4.43194444,10.2,787,Perennial.herbaceous,none,eutric or calcic regosols with anthropic origin,Regosols,FAO,Low,16.1,22.7,3.7,36.3,77,443.5,74.2,,,7.2,3.01,0.17,,,12.8,,1.4245,0,10,5
50.84888889,4.43194444,10.2,787,Perennial.herbaceous,none,eutric or calcic regosols with anthropic origin,Regosols,FAO,Low,25.6,21.7,5.5,29.3,104.9,417.2,51.8,,,7.1,3.91,0.22,,,12.6,,2.5221,0,10,5
50.86111111,4.45916667,10.2,787,Perennial.herbaceous,none,eutric or calcic regosols with anthropic origin,Regosols,FAO,Low,19.3,19,11,38.1,36.8,57,60.1,,,6.5,1.48,0.14,,,2.5,,1.0434,0,10,5
50.86111111,4.45916667,10.2,787,Perennial.herbaceous,none,eutric or calcic regosols with anthropic origin,Regosols,FAO,Low,28.1,23,12.5,42,44.6,55.1,59.7,,,5.9,1.8,0.15,,,2.4,,1.5779,0,10,5
50.44888889,3.81833333,10,760,Perennial.herbaceous,none,eutric or calcic regosols with anthropic origin,Regosols,FAO,Low,61.2,57.9,11.3,98,121,469.7,98,,,7.1,9.36,0.36,,,17,,2.3371,0,10,5
50.44888889,3.81833333,10,760,Perennial.herbaceous,none,eutric or calcic regosols with anthropic origin,Regosols,FAO,Low,91.5,81,14.3,118.9,160.5,421.8,69.8,,,7.2,8.51,0.36,,,14.1,,2.2805,0,10,5
51.65444444,11.04972222,6.8,640,Annual.agriculture,NP,Cambisols,Cambisols,WRB system,Low,66,42,29,161,140,182,,,884,,1.535,0.181,,,,,1.710876285,0,10,5
51.65444444,11.04972222,6.8,640,Annual.agriculture,NP,Luvisols,Luvisols,WRB system,Intermediate,58,42,36,164,146,177,,,823,,1.755,0.208,,,,,1.861835957,0,10,5
51.65444444,11.04972222,6.8,640,Annual.agriculture,NP,Stagnic Phaeozems,Phaeozems,WRB system,Intermediate,47,36,44,146,205,128,,,753,,2.265,0.2525,,,,,2.444108979,0,10,5
51.65444444,11.04972222,6.8,640,Annual.agriculture,NP,Gleysols,Gleysols,WRB system,Intermediate,44,34,50,144,197,103,,,726,,2.89,0.265,,,,,2.911365107,0,10,5
4.5,-71.31666667,26.5,2240,Perennial.mixed,none,"typic haplustox, fine kaolinitic, isohyperthermic",Oxisols,USDA system,High,0.8,1.6,8.6,22,42,0.3,,,179,5.1,2.1,1.45,,,,silty clay,1.825893178,0,15,7.5
4.5,-71.31666667,26.5,2240,Perennial.herbaceous,none,"typic haplustox, fine kaolinitic, isohyperthermic",Oxisols,USDA system,High,1.4,2.8,9.1,26,43,0.8,,,194,5.2,2.1,1.67,,,,silty clay,2.14937819,0,15,7.5
0.13333333,34.4,23,1800,Annual.agriculture,NP,Rhodic Kandiudox,Oxisols,USDA system,High,30.94783943,7.396640827,20.51340815,143.9178532,69.20272744,3.16021489,,,663.7233477,5.35,1.97,,21.5,20.7,57.8,clay,4.7875,0,15,7.5
0.13333333,34.4,23,1800,Annual.agriculture,NP,Rhodic Kandiudox,Oxisols,USDA system,High,32.96134803,13.15676141,22.97848156,191.415115,77.5040065,2.718821238,,,717.2053866,5.02,1.8,,21.5,20.7,57.8,clay,3.443,0,15,7.5
0.13333333,34.4,23,1800,Annual.agriculture,N,Rhodic Kandiudox,Oxisols,USDA system,High,1.255317038,1.275839793,21.91377553,63.30859803,95.39889516,1.047538669,,,454.5696225,4.69,1.8,,21.5,20.7,57.8,clay,2.5264,0,15,7.5
0.13333333,34.4,23,1800,Annual.agriculture,NP,Rhodic Kandiudox,Oxisols,USDA system,High,12.97536185,2.928509905,15.92865261,80.41566265,69.66179281,1.350779046,,,534.2470221,5.39,1.9,,21.5,20.7,57.8,clay,3.2013,15,30,22.5
0.13333333,34.4,23,1800,Annual.agriculture,NP,Rhodic Kandiudox,Oxisols,USDA system,High,5.869489978,2.546296296,15.79355842,67.43921139,67.24709398,1.134970214,,,460.2811641,5.35,1.73,,21.5,20.7,57.8,clay,3.0506,15,30,22.5
0.13333333,34.4,23,1800,Annual.agriculture,N,Rhodic Kandiudox,Oxisols,USDA system,High,0.666712488,0.242248062,14.29539434,26.7560241,80.63847407,1.093141562,,,390.0594082,5.04,1.73,,21.5,20.7,57.8,clay,2.8343,15,30,22.5
42.22944444,-7.35888889,9.3,1219,Perennial.woody,none,humic cambisols,Cambisols,FAO,Low,5,5,23,31,63,7,,,531,4.55,9.84,0.6,,,,,5.32,0,5,2.5
42.22944444,-7.35888889,9.3,1219,Perennial.woody,none,humic cambisols,Cambisols,FAO,Low,5,4,27,32,71,6,,,523,4.25,11.34,0.72,,,,,5.5,5,10,7.5
42.22944444,-7.35888889,9.3,1219,Perennial.woody,none,humic cambisols,Cambisols,FAO,Low,33,81,4,190,0,13,,,600,4.9,8.69,0.72,,,,,1.14,0,5,2.5
42.22944444,-7.35888889,9.3,1219,Perennial.woody,none,humic cambisols,Cambisols,FAO,Low,7,16,13,55,32,5,,,544,3.8,9.37,0.69,,,,,1.1,5,10,7.5
42.31027778,-7.23444444,9.3,1138,Perennial.woody,none,humic cambisols,Cambisols,FAO,Low,12,9,47,33,164,6,,,747,4.19,15.82,0.87,,,,,6.84,0,5,2.5
42.31027778,-7.23444444,9.3,1138,Perennial.woody,none,humic cambisols,Cambisols,FAO,Low,9,11,50,43,157,4,,,700,4.25,11.1,0.63,,,,,3.86,5,10,7.5
42.31027778,-7.23444444,9.3,1138,Perennial.woody,none,humic cambisols,Cambisols,FAO,Low,96,38,23,161,98,2,,,666,4.74,7.44,0.39,,,,,0.4,0,5,2.5
42.31027778,-7.23444444,9.3,1138,Perennial.woody,none,humic cambisols,Cambisols,FAO,Low,16,12,22,24,75,6,,,503,5.58,5.11,0.24,,,,,1.66,5,10,7.5
42.91638889,-8.56638889,13.6,1296,Perennial.mixed,none,humic cambisols,Cambisols,FAO,Low,6,9,18,74,7,4,,,570,4.39,8.83,0.78,,,,,7.62,0,5,2.5
42.91638889,-8.56638889,13.6,1296,Perennial.mixed,none,humic cambisols,Cambisols,FAO,Low,3,5,9,49,85,4,,,542,4.42,7.94,0.65,,,,,3.64,5,10,7.5
42.91638889,-8.56638889,13.6,1296,Perennial.mixed,none,humic cambisols,Cambisols,FAO,Low,10,50,2,260,29,22,,,652,5.47,6.27,0.57,,,,,0.7,0,5,2.5
42.91638889,-8.56638889,13.6,1296,Perennial.mixed,none,humic cambisols,Cambisols,FAO,Low,4,17,3,92,33,8,,,458,5.04,7.7,0.54,,,,,0.62,5,10,7.5
