Labile.Pi,Labile.Po,OH.Pi,OH.Po,acid.P,PME
8,19,139,177,219,0.380993458
27,15,162,173,229,0.582273021
13,14,34,136,146,0.761986917
29,25,158,204,182,0.690101359
39,46,56,191,224,0.927323701
18,50,135,146,129,0.984832147
16,37,164,154,168,0.869815254
14,37,114,218,136,1.631802171
57,79,209,316,218,1.416145496
50,76,149,343,145,2.206886636
10,32,91,127,6,4.88
11.1,19.6,16.9,116.6,1.9,2.820968298
21.3,13.4,21.8,95.6,6.6,2.416389907
29.5,17.5,34.2,107.9,10.2,2.580981957
29.5,15.7,35.9,99.2,8.7,1.962040112
20.1,15.8,25,86.9,5,1.993579901
88.1,126.7,187.1,293,50.7,8.3
73,90.8,434.9,465.2,88.8,6.5
65,131.1,232,472.2,41.4,9
203.7,188.3,67,207.7,32.6,18
98.64,93.3359,151.8089,425.2,120.3,11.14865215
87.3839,96.7204,169.2139,374.0908,110.0865,9.645658862
50.62,88.1615,129.0675,432.4,102.3,7.785292802
47.5422,83.5202,122.7807,405.1602,95.8919,6.522723538
28.44,7.95,2.96,1.98,385.89,0.020990583
50.88,8.46,24.3,9.47,281.75,0.098267558
38.8,3.7,36.3,77,443.5,1.4245
47.3,5.5,29.3,104.9,417.2,2.5221
38.3,11,38.1,36.8,57,1.0434
51.1,12.5,42,44.6,55.1,1.5779
119.1,11.3,98,121,469.7,2.3371
172.5,14.3,118.9,160.5,421.8,2.2805
81,40,477,49,217,1.384240889
342,50,724,86,373,1.71527029
17,88,113,147,151,1.622833369
112,93,382,145,306,1.852640357
66.9298,184.9226,147.1191,898.5458,118.7056,1.782761843
40.63,42.32,72.06,36.42,193.6,1.426029761
46.33,68.13,89.43,36.79,194.94,1.621881964
45.54,63.43,85.32,38.15,192.18,1.665947811
42.8,30.82,84.06,35.57,196.99,1.568003738
58.32,63.79,103.16,34.16,199.54,1.69024513
48.64,62.81,95.55,30.41,204.72,1.601322694
108,29,161,140,182,1.710876285
100,36,164,146,177,1.861835957
83,44,146,205,128,2.444108979
78,50,144,197,103,2.911365107
2.4,9.1,22,42,0.3,1.825893178
4.2,9.9,26,43,0.8,2.14937819
38.34448026,20.51340815,143.9178532,69.20272744,3.16021489,4.7875
46.11810944,22.97848156,191.415115,77.5040065,2.718821238,3.443
2.531156832,21.91377553,63.30859803,95.39889516,1.047538669,2.5264
15.90387175,15.92865261,80.41566265,69.66179281,1.350779046,3.2013
8.415786274,15.79355842,67.43921139,67.24709398,1.134970214,3.0506
0.90896055,14.29539434,26.7560241,80.63847407,1.093141562,2.8343
10,23,31,63,7,5.32
9,27,32,71,6,5.5
114,4,190,0,13,1.14
23,13,55,32,5,1.1
21,47,33,164,6,6.84
20,50,43,157,4,3.86
134,23,161,98,2,0.4
28,22,24,75,6,1.66
15,18,74,7,4,7.62
8,9,49,85,4,3.64
60,2,260,29,22,0.7
21,3,92,33,8,0.62
18,17,86,59,5,3.68
8,17,40,70,5,2.04
19,22,69,73,13,3.66
11,16,43,68,6,3.26
41.15,3.78,7.3,9.93,107.6,0.309745688
30.78,8.99,5.37,11.64,4.16,0.345485779
45,16.08,3.97,25.54,13.26,0.555019658
42.47,7.61,9.85,12.02,59.52,0.337076471
22.09,4.68,3.4,14.77,60.98,0.270501895
3.2,11.5,5.6,38.8,2,6.68
2.8,4.5,5.2,14.4,1.4,2.6
2.7,6.5,4.5,17.8,1.1,0.77
2.6,7.6,4.2,14.2,1.1,0.51
25.8,17,7.9,8.4,4.4,0.633549038
27.1,12.8,7,7,3.5,0.638544611
16.4,9.7,6.6,5.3,2.6,0.689231396
16.9,10.1,6.9,5,2.7,0.709305069
21.7,17.7,6.4,7.9,3.5,0.601107923
19.3,8.9,7,7.5,3,0.58143095
14.2,11.3,6.2,5.5,2.9,0.633488825
13,14.2,8.4,4.6,2.6,0.634372189
13.9,9.9,6.6,5,2.5,0.589228917
15.4,9.4,6.3,4.6,2.9,0.574121064
11.4,9.1,5.7,5.3,2.7,0.562211242
11.3,8.4,8.5,4.5,2.3,0.606505508
18.6,12.4,72.9,123,162,0.797603868
39.7,11.6,91.7,104,182,1.089150994
35,12,91.2,114,178,1.00347997
47.2,11.9,114.8,127,180,0.847412602
38.4,12.2,100.1,132,172,0.78033684
129.1677603,5.028090711,61.51647262,38.03389163,304.9689143,0.420974756
145.9950611,4.442254906,62.17099278,36.7416186,340.8835943,0.387049752
149.321584,4.805498461,65.02488372,38.31969307,307.3148476,0.472930971
48.35793626,4.7980899,41.73932755,44.70076606,196.8975859,0.401078852
29.29140427,4.136823454,28.32107439,37.44077243,176.5722178,0.462050935
34.17082364,4.16829894,29.61352441,38.24781209,189.9194755,0.409304088
39.42224536,3.697115133,37.91161101,34.91100083,173.8358624,0.549416674
36.50368405,3.727765523,37.85616642,33.53155339,177.8367361,0.581516132
46.27065814,4.403636055,46.36689779,41.67708628,178.325826,0.573783987
131.6899909,4.483118381,58.50376126,32.29704467,281.5117134,0.286100193
145.0008347,5.214982603,63.93334109,37.68366255,267.2236223,0.273905511
139.2566299,4.794683481,63.98494506,37.74819207,280.5680291,0.307215044
41.94205288,4.049334735,36.64896388,36.56102477,175.6237559,0.289268371
45.76678561,3.843983184,40.16450694,36.06172088,188.0525867,0.32451885
47.04178667,4.129168156,40.20073283,38.60272441,184.7575855,0.341256747
45.16664208,4.292167962,41.16426032,34.64871717,174.4097072,0.517064125
34.49133043,3.691431808,34.27602838,34.85893429,176.2056717,0.550856049
38.77891453,3.580115028,38.36126151,39.48538799,190.1342101,0.572946688
112.3582768,2.393780897,62.50381517,35.59229822,255.8727776,0.369954133
104.2225351,2.845242329,61.25418484,32.97060815,257.9104596,0.342259462
115.2388738,2.319763958,62.96907402,34.2160113,305.4061451,0.33175293
20.02896541,0.607290671,24.28384171,24.72008456,190.0230892,0.241840334
18.79859911,0.814934375,24.6148908,29.46220934,173.6704515,0.382860708
35.19180989,1.401652465,39.50384538,32.5240477,196.6994926,0.333083772
28.04643887,2.370429285,35.28976193,42.71835232,175.8801416,0.480083242
28.40986181,1.94600795,36.55425705,42.51349286,186.0311384,0.514329749
32.03319679,2.010225327,43.64322241,49.80561287,190.2365216,0.564652713
24.78381617,8.008737154,204.6769885,100.1745741,11.39782985,4.149721487
9.074039006,9.411020177,126.381362,157.1252838,5.023415816,3.889550864
27.07689719,6.161184587,226.9326207,83.33074249,13.75824152,4.930233377
20.31158412,7.860313973,185.9969904,113.5435334,10.05982906,4.323168576
