Resin.Pi,Bic.Pi,Bic.Po,OH.Pi,OH.Po,acid.Pi,PME
3,7,32,91,127,6,4.88
5.3,5.8,19.6,16.9,116.6,1.9,2.820968298
10.1,11.2,13.4,21.8,95.6,6.6,2.416389907
10.1,19.4,17.5,34.2,107.9,10.2,2.580981957
15.3,14.2,15.7,35.9,99.2,8.7,1.962040112
11.1,9,15.8,25,86.9,5,1.993579901
27.48,0.96,7.95,2.96,1.98,385.89,0.020990583
47.88,3,8.46,24.3,9.47,281.75,0.098267558
16.1,22.7,3.7,36.3,77,443.5,1.4245
25.6,21.7,5.5,29.3,104.9,417.2,2.5221
19.3,19,11,38.1,36.8,57,1.0434
28.1,23,12.5,42,44.6,55.1,1.5779
61.2,57.9,11.3,98,121,469.7,2.3371
91.5,81,14.3,118.9,160.5,421.8,2.2805
66,42,29,161,140,182,1.710876285
58,42,36,164,146,177,1.861835957
47,36,44,146,205,128,2.444108979
44,34,50,144,197,103,2.911365107
0.8,1.6,8.6,22,42,0.3,1.825893178
1.4,2.8,9.1,26,43,0.8,2.14937819
30.94783943,7.396640827,20.51340815,143.9178532,69.20272744,3.16021489,4.7875
32.96134803,13.15676141,22.97848156,191.415115,77.5040065,2.718821238,3.443
1.255317038,1.275839793,21.91377553,63.30859803,95.39889516,1.047538669,2.5264
12.97536185,2.928509905,15.92865261,80.41566265,69.66179281,1.350779046,3.2013
5.869489978,2.546296296,15.79355842,67.43921139,67.24709398,1.134970214,3.0506
0.666712488,0.242248062,14.29539434,26.7560241,80.63847407,1.093141562,2.8343
5,5,23,31,63,7,5.32
5,4,27,32,71,6,5.5
33,81,4,190,0,13,1.14
7,16,13,55,32,5,1.1
12,9,47,33,164,6,6.84
9,11,50,43,157,4,3.86
96,38,23,161,98,2,0.4
16,12,22,24,75,6,1.66
6,9,18,74,7,4,7.62
3,5,9,49,85,4,3.64
10,50,2,260,29,22,0.7
4,17,3,92,33,8,0.62
5,13,17,86,59,5,3.68
3,5,17,40,70,5,2.04
7,12,22,69,73,13,3.66
4,7,16,43,68,6,3.26
4.4,21.4,17,7.9,8.4,4.4,0.633549038
12.1,15,12.8,7,7,3.5,0.638544611
2.9,13.5,9.7,6.6,5.3,2.6,0.689231396
2.7,14.2,10.1,6.9,5,2.7,0.709305069
